InitialTerm,Sentiment,Anger,Disgust,Fear,Happiness,Sadness,Surprise
############################################################
# This lexicon was compiled from lexicons by D.Spiliotopoulos et al., and A. Tsakalidis et al., with additions by P. Pratikakis.
# Words are not stemmed, this is meant to be used with a stemmer or POS tagger that can look up the base form.
# This works well with the "twAwler" crawler/feature extractor, and with the "el-wiktionary-parser" POS-tagger.
# Redundant entries have been commented out, and sentiment opinions have been averaged, when listed individually in each source lexicon.
############################################################
ιδού,-2,1.666666667,1.666666667,1,1.666666667,1.666666667,4
ιδρυτής,-2,1,1,1,2,1,1
ιερατείο,-2,1.5,2,1,1,1,3
ιερογλυφικός,-2,1.5,2.5,1,1,1,3.5
ικανοποίηση,4,1,1,1,4.5,1,2.5
ικανοποιημένος,3,1,1,1,5,1,1
ικανοποιητικός,-2,1,1,1,4,1,1
ικανός,3,1,1,1,3.666666667,1,3
ικανότητα,2,1,1,1,4,1,1
ικετεύω,-2,1,1,4,1,2,1
ιμπρεσιονισμός,1,0,0,0,0,0,0
ινστρούχτορας,-3,2,3,1,1,1,2
ιντελιγκέντσια,-3,2.333333333,3.333333333,1,1,1,2
ιπποπόταμος,-4,2,3.75,1.25,1,1,1.5
ισοβίως,-2,2,2.5,2.5,1,1,3.5
ισονομία,3,1,1,1,4,1,1
ισορροπία,2,1,1,1,4,1,3
ισχυρίζονται,-2,1,1,1,1,1,1
ισχυρός,1,1,1,1,3,1,1
ισόβιος,-2,2,2.5,2.5,1,1,3.5
ισότητα,3,1,1,1,4,1,1
ιώδης,1,0,0,0,0,0,0
κάθαρμα,-4,4,4,1,0,1,1
κάθαρση,4,1,1,1,3.5,1,2.25
κάθετος,-2,2,1,2,1,2,1
κάλλος,3,1,1,1,3.666666667,1,3.666666667
κάνω,1,0,0,0,0,0,0
κάποιος,1,0,0,0,0,0,0
κάπου,1,0,0,0,0,0,0
κάπως,-2,1,2,1,1,1.5,2.5
κάργα,-2,3.5,3.5,1,1,1,3.5
κάργας,-4,2.75,3.25,1,1,1,2
κάργια,-4,3,3.25,1,1,1,2.25
κάρο,-2,2,3,1,1,1,3
κάρφωμα,-3,2.333333333,2.666666667,2,1,1,2.333333333
κάστα,-3,2.333333333,3,1.666666667,1,1,2.666666667
κάταγμα,-2,2,1,3,1,2,1
κάτι,1,0,0,0,0,0,0
κάψιμο,-3,2,2.333333333,2.333333333,1,1,2.666666667
κέρατο,-3,3.333333333,2.666666667,2.333333333,1,1.666666667,3.333333333
κέρδος,3,1,1,1,4,1,1
κίναιδος,-4,2,2.75,1.25,1,1.25,2.25
κίνδυνος,-2,3,3,5,1,4,1
κίνητρο,1,1,1,1,3,1,1
καίριος,2,0,0,1,1,1,5
καίω,-2,3.666666667,2,1.666666667,2.333333333,2.333333333,2.666666667
καβάλα,-2,2.5,3,1,1,1,3
καβαλικεύω,-2,2.5,3,1,1,1,3
καβαλώ,-3,2,2.666666667,1,1,1,2.333333333
καθαρά,2,1,1,1,4,1,1
καθαρός,2,1,1,1,4,1,1
καθηγητιλίκι,-2,3.5,3.5,1,1,1,2.5
καθηκοντολογία,-2,1.5,3,1,1,1,2
καθησυχάζω,3,1,1,1,3.333333333,1,2.333333333
καθιστικός,-2,1,1,1,1,1,1
καθοδηγητής,-2,2,2.5,1,1,1,2
καθορίζω,1,0,0,0,0,0,0
καθυστέρηση,-2,2,1,2,1,2,1
καθυστερημένος,-2,2,1,2,1,2,1
καθωσπρέπει,-1,1.666666667,2.666666667,1,1.666666667,1,2
καθότι,1,0,0,0,0,0,0
κακία,-4,3,2,3,1,3,1
κακαρίζω,-2,1,2.5,1,1.75,1,2.5
κακοήθεις,-3,4,3,4,1,3,1
κακολογία,-2,3,2,3,1,4,1
κακολογώ,-2,2,2,2,1,2,1
κακομαθημένος,-1,1,2,0,0,1,0
κακομεταχειρίζομαι,-2,2,2,2,1,2,1
κακοσμία,-3,1.333333333,3.666666667,1,1,1.333333333,2.666666667
κακουχία,-3,1,2.333333333,2,1,1.666666667,2.666666667
κακοφτιάχνω,-2,3,2,3,1,3,1
κακούργος,-2,4,4,5,0,3,1
κακόβουλες,-3,4,3,4,1,3,1
κακόηχος,-3,1,3.333333333,1.333333333,1,1.333333333,2
κακόκαρδος,-3,2,2.666666667,1.666666667,1,1.666666667,2
κακόκεφος,-3,2,1,2,1,2,1
κακός,3,3,2,3,1,3,1
κακόφημος,-2,3,2,3,0,3,1
κακώς,-3,3,3,4,1,4,1
καλά,3,1,1,1,5,1,2
καλαισθητικός,4,1,1,1,2.75,1,2.25
καλαμοκάνης,-4,1.5,2.75,1,1,1,2
καλαμοπόδαρος,-4,1.5,2.75,1,1,1,2
καλαμπαλίκι,-3,1.666666667,3,1,1,1,2.666666667
καλημέρα,2,1,1,1,4,1,1
καλημερούδια,3,1,1,1,4,1,2.75
καληνυχτούδια,3,1,1,1,4,1,2.75
καλησπερούδια,3,1,1,1,4,1,2.75
καλλιπόπη,1,0,0,0,0,0,0
καλλιτεχνικός,2,1,1,1,3.5,1,3.5
καλλονή,4,1,1,1,3,1,2.75
καλλονός,4,1,1,1,3,1,2.75
καλοβολεμένος,-2,3,4,3,2,4,2
καλογερεύω,-2,1,2.5,1,1,1,3.5
καλοδιάθετος,4,1,1,1,3.75,1,2.25
καλοκαιράκι,3,1,1,1,3.75,1,2.75
καλομαθαίνω,-3,1,2.333333333,1,1,1,2.333333333
καλοπερασάκιας,-2,2.333333333,3,1,1.333333333,1,2.666666667
καλοπερνώ,1,1.5,2,1,2.25,1,2
καλοσύνη,2,1,1,1,4,1,1
καλυβάκι,1,1,1.5,1.5,2,1,3.5
καλόγερος,-2,1,2,1,1,1,2.5
καλόκαρδος,3,1,1,1,4.333333333,1,3
καλός,4,1,1,1,3.75,1,2.5
καλύβι,-2,1,2.5,1.5,1,1,3.5
καλύτερος,3,1,1,1,5,1,2
καλώς,3,1,1,1,5,1,2
καμάκι,-2,1,3,1,1,1,3.5
καμάρι,2,1,1.25,1,2.75,1,2.75
καμήλα,-4,2.5,3.25,1,1,1,2
καμακώνω,-2,1,3,1,1,1,3
καμαρίλα,-4,1.75,3.25,1,1,1,1.75
καμαρώνω,4,1,1,1,3.75,1,3
καμπαρετζής,-4,3,3.5,1.25,1,1,2
καμπαρετζού,-4,3,3.5,1,1,1,2
καμόρα,-2,3,2,3,0,1,0
κανάγιας,-4,3.5,3.5,1.5,1,1.25,2
κανί,-2,4,4,1,1,1,3
κανίβαλος,-4,2.5,3.75,3.25,1,1.25,2.5
κανονίζω,-2,3.5,1.5,1,1,1,2
κανονιέρης,-2,2,2,2,1.333333333,1,2.333333333
κανόνι,-2,2,1,2,1,2,2
καούρα,-3,1,2.666666667,1,1,1,2
καπελίνο,-1,1,1.333333333,1,1.666666667,1,2.333333333
καπελαδούρα,-3,1,1.666666667,1,1,1,2.333333333
καπνικαρέα,-4,1.25,2.75,1,1,1.25,1.75
καπνός,-3,2,2,3,1,2,1
καπούλι,-2,2,2.5,1,1,1,2
καράφλα,-4,1.75,2.75,1,1,1,2.5
καράφλας,-3,1.666666667,2.666666667,1,1,1,2
καρέκλα,-1,1,2,1,1,1,3
καρα-,-1,3,3,1,1,1,3
καραβανάς,-4,2,3,1,1,1,1.75
καραβανσαράι,-3,1.333333333,2.666666667,1,1,1,2.333333333
καραβανσεράι,-3,1.333333333,2.666666667,1,1,1,2.333333333
καραβόσκυλος,-2,2.5,2.75,2.25,1.25,1.5,2.25
καραγιαπί,-3,2.333333333,2.666666667,1,1,1,2.666666667
καραγκιοζάκος,-4,2.25,2.5,1,1,1,2.25
καραγκιοζιλίδικος,-4,2.5,2.75,1,1,1,2.25
καραγκιοζλίδικος,-4,2.5,2.75,1,1,1,2.25
καραγκιόζης,-4,5,5,4,0,4,2
καραγκιόζικος,-4,2.5,3,1,1,1,2.25
καρακάξα,-4,2.25,3.25,1,1,1,2
καρακαηδόνα,-4,2,3,1,1,1,2
καραμπογιά,-3,1.666666667,2.666666667,1,1,1,2
καραπουτάνα,-4,4,4.5,1,1,1.25,2.75
καρατομώ,-5,4,3,4,0,3,1
καραφλός,-3,2,3,1,1,1,3
καρβουνιάρης,-2,2.5,3,1,1,1,3
καρδιά,2,1,1,1,4,1,3.5
καρδιαλγής,-5,2,2,4,1,4,1
καρδιο-,-2,1,2.5,2.5,1,1,4
καρδιοχτυπώ,-1,1,1.25,2.5,2,1.25,3
καρδούλα,4,1,1,1,3.25,1,3
καρεκλάκι,1,0,0,0,0,0,0
καρεκλίτσα,1,0,0,0,0,0,0
καρεκλοκένταυρος,-4,2.5,2.75,1,1,1,2.25
καριερίστας,-3,2,3,1.666666667,1,1,2.333333333
καριολάκι,-4,5,5,4,0,4,2
καριόλης,-4,4.5,4,1.25,1,1.25,2.25
καρκίνος,-4,3,3,4,0,3,1
καρκαλέτσος,-4,2,3,1,1,1,2
καρκινιάρης,-4,3.25,3.5,1.5,1,1.25,2
καρκινοφοβία,-3,1.666666667,2.666666667,3,1,1,3
καρπαζοεισπράκτορας,-4,2,2.5,1,1,1.25,2.25
καρπαζοεισπράχτορας,-4,2,2.5,1,1,1.25,2.25
καρπουζοκέφαλος,-3,2,2.333333333,1,1,1,1.666666667
καρφώνω,-3,2.333333333,2.666666667,2,1,1,2.333333333
καρχαρίας,-2,2,2,3,1,2,1
καρόδρομος,-3,2.333333333,2.666666667,1.333333333,1,1.333333333,2.666666667
κατά,-2,2,2,3,1,3,1
κατάδικος,-2,3,2,3,1,3,1
κατάθεση,1,0,0,0,0,0,0
κατάκαρδα,-3,1.333333333,1.333333333,1.666666667,1,3.333333333,2
κατάκοπος,-3,2,1,2,1,2,1
κατάκτηση,-1,1,1.666666667,1.666666667,1.666666667,1,2.333333333
κατάληψη,-1,3,3,4,1,4,2
κατάντια,-3,4,5,4,1,5,3
κατάνυξη,4,1,1,1,3.75,1,1.75
κατάπληξη,-2,2,1,2,1,2,1
κατάπνιξη,-2,3.5,2.5,3,1,2.5,3.5
κατάπτυστη,-2,4,4,4,0,3,1
κατάρα,-2,4,4,4,0,3,1
κατάργηση,-2,3,2,4,1,4,1
κατάρρευση,-3,5,5,5,0,5,2
κατάσβεση,-2,2,2,2,1,2,1
κατάσκοπος,-2,3,2.5,3.5,1,1,3
κατάστιχο,-3,3,2.333333333,1.333333333,1,1.333333333,2.333333333
κατάσχεση,-2,3,2,3,1,3,1
κατάσχουν,-2,3,2,3,1,3,1
κατάσχω,-2,3,2,3,1,3,1
κατάφωρη,-2,2,2,2,1,2,1
κατάχρηση,-4,4,3,4,0,3,1
κατάψυξη,-1,1,3,2,1,1,4
κατέχω,-1,1,1.5,2,2,1.5,2
κατήφεια,-3,2,2,4,0,5,1
κατίνα,-4,2.75,3,1,1.5,1,2.25
καταβάλλω,-2,2,2,2,1,3,1
καταβεβλημένος,-2,2,2,2,1,3,1
καταβόθρα,-3,3,3.333333333,1,1,1,2.666666667
καταγγέλλω,-2,3,3,4,1,4,1
καταγγελία,-2,3,3,4,1,4,1
καταδίκη,-2,3,2,3,1,3,1
καταδίωξη,-2,3,2,3,1,3,1
καταδικάζω,-2,3,2,3,1,3,1
καταδικός,-2,2.333333333,2.333333333,1.666666667,1,1.333333333,2.333333333
καταθλιπτικός,-2,2,2,3,1,5,1
καταιγίδα,-2,3,3,3,1,3,1
κατακάθι,-2,3,3,1,0,1,1
κατακαίω,-3,3.25,2,2.25,2,2.75,2.25
κατακλυσμός,-2,2,2,3,1,2,1
κατακλύζω,-2,2,2,3,1,2,1
κατακρίνω,-3,3,3,2,0,2,2
κατακρατούν,-2,3,2,3,1,3,1
κατακραυγή,-3,4,4,4,0,3,1
κατακρεουργώ,-4,2.75,3.5,2.25,1,2,1.75
κατακριτέο,-2,3,3,4,1,3,1
κατακτώ,-1,1,1.666666667,1.666666667,1.666666667,1,2.333333333
κατακυριεύω,-1,1.666666667,1.333333333,2,2,1.333333333,2.333333333
καταλήστευση,-3,4,2,2,0,3,0
καταλαβαίνω,1,1,1,1,3,1,1.333333333
καταλαμβάνω,-2,2,1.5,2.5,2.5,2.5,2
καταλληλότερος,2,1,1,1,4,1,2
καταλύω,-2,3,3,3,1,3,2
καταναγκασμός,-2,3,3,4,1,3,1
κατανομή,-2,1,1,1,1,1,1
καταντώ,-3,4,5,4,1,5,3
καταξοδεύω,-3,1.333333333,1.333333333,1,2.333333333,1.333333333,2
καταπίνω,-2,2,2,2,1,2,1
καταπίπτω,-2,2,2,3,1,2,1
καταπατώ,-2,3,2,3,1,3,1
καταπιέζω,-3,3,2,3,1,3,1
καταπνίγω,-2,3.5,2.5,3.5,1,2.5,3.5
καταπράυνση,3,2,1.333333333,1,3.333333333,1.333333333,2
καταργώ,-2,3,2,4,1,4,1
κατασβήνω,-2,2.5,2.5,1.5,2.5,1,2.5
κατασιγάζω,-1,2,2,1,1.666666667,1,2.666666667
κατασκευάζω,1,1,1,1,3,1,4
κατασκευή,1,0,0,0,0,0,0
κατασκεύασμα,-2,2,3,2,1,1,3
καταστέλλουν,-2,3,2,3,1,3,1
κατασταλάζω,1,1,1,1,3,1,2
καταστολή,-2,3,2,3,1,3,1
καταστρέφουν,-2,3,2,3,1,3,1
καταστρέφω,-3,3,2,3,1,3,1
καταστροφή,-4,5,4,5,0,4,2
καταστροφικός,-4,5,4,5,0,4,2
κατατρομάζω,-4,2,1.25,4.75,1,1,3.75
καταφέρνω,3,1,1,1,3.333333333,1,1.666666667
καταφερτζής,-2,2,2,3,1,2,1
καταχαρούμενος,4,1,1,1,4.5,1,2.25
καταχθόνιος,-3,3,2,4,1,3,1
καταϋποχρεώνω,-2,1.25,1.75,1,2,1.25,2.25
κατεβάζω,1,2,1,2,2,1,1
κατεδαφίσει,-2,3,2,3,1,3,1
κατεργάρης,-3,2,2.666666667,1.333333333,1,1,2.666666667
κατεστημένο,-2,3,3,3,1,3,1
κατεστημένος,-2,3,3,3,1,3,1
κατευνάζω,3,1,1,1,3,1,2.333333333
κατηγορία,-2,3,2,3,1,3,1
κατηγορητήριο,-2,3,2,3,1,3,1
κατηγορώ,-3,2,2,3,1,4,2
κατοικοεδρεύω,-1,1.5,2,1,1.5,1.5,2
κατουρλιάρης,-4,1.75,3,2,1.25,1,2.25
κατουρώ,-3,1.75,3.25,3.25,2,1,2.25
κατρακύλισμα,-2,3,2,5,0,3,1
κατρουλιάρης,-4,1.75,3,2,1.25,1,2.25
κατσαρίδα,-3,3,5,5,0,2,1
κατσικοκλέφτης,-4,2.25,2.75,1.5,1,1,2
κατωτερότητα,-3,2,2.666666667,1,1,1,2
κατόρθωμα,1,2,1.333333333,1.333333333,2.666666667,1,3.333333333
κατώτερος,-3,1.666666667,2.333333333,1,1,1.333333333,1.666666667
κατώφλι,-1,3,2,1,1,1,3
καυλί,-2,2.666666667,3,1,1.666666667,1.333333333,3.333333333
καυλιάρης,-1,2.666666667,2.333333333,1,1,1,3.333333333
καυλιτζέκι,-2,2.333333333,2.666666667,1,1,1,3
καυλιτσέκι,-2,2.333333333,2.666666667,1,1,1,3
καυλώνω,1,2.5,2,1,3.25,1,2.75
καυσαερίων,-2,1,1,1,1,1,1
καυχιέμαι,-2,2,1,2,1,2,1
καυχώμαι,-2,2,1,2,1,2,1
καφενόβιος,-2,2,3,1,1,1,3
καύλα,4,1,1,1,5,1,3
καύση,-3,1,1,1,1,1,1
καύσος,-2,1.5,2,1,1,1,3
κειμένος,-4,1,1,1,1,1,1
κειμήλιο,3,1,1,1.333333333,3,1,2.666666667
κεκές,-2,2,2.5,1,1,1.5,3
κεκράκτης,-3,2.666666667,3,1,1,1,2.333333333
κεκτημένος,2,1,1,1,3,1,1
κελεπούρι,1,1.5,1.5,1,2.25,1,2.5
κεντρίζω,2,1,1,1,3.5,1,3
κεντώ,1,1,3,1,3,1,3
κενό,-2,2,3,2.5,1.5,2,1.5
κερασοφόρος,-1,3,2,2,1,1,3
κερατάς,-3,3.5,2.75,1.5,1.25,1.5,3
κερδίζω,4,1,1,1.25,3.75,1,2.75
κερδισμένος,2,1,1,1,5,1,1
κεφαλή,1,1,2,1,1,1,3
κεχαγιάς,-3,2.666666667,2.333333333,1.666666667,1,1,1.666666667
κηδεμονία,-3,1.666666667,2.333333333,1.666666667,1,1.666666667,2
κηδεμονεύω,-3,1.666666667,2.333333333,1.666666667,1,1.666666667,2
κηλίδα,-2,3,2,3,1,3,1
κιμωλία,-1,1,2,5,1,1,4
κιναισθησία,1,1,1,1,1,1,4
κιναισθητικός,1,1,1,1,1,1,4
κινδυνολογία,-2,4,3,5,1,4,2
κινώ,1,1,1,1,3,1,3
κιτρινιάρης,-3,2.666666667,3.666666667,1.333333333,1,1,3
κλάμα,-4,3,2,4,0,4,1
κλάνω,-3,5,5,5,1,4,2
κλάσιμο,-4,2.5,3.25,1.25,1,1,2.25
κλέβω,-2,3,2,4,1,3,1
κλέφτης,-4,3,3,3,1,1.25,2
κλίκα,-4,2.5,2.25,1.25,1,1,2
κλαίω,-4,3,2,3,1,4,1
κλανιάρης,-4,2.25,3.25,3.25,1,1,2
κλαπάτσα,-3,1.666666667,3,1.333333333,1,2.666666667,2.333333333
κλασικός,1,0,0,0,0,0,0
κλαψούρισμα,-3,3,2,4,0,4,1
κλείνω,1,0,0,0,0,0,0
κλειστός,-2,1,2.5,1,1,1,3
κλεφτάκος,-4,2.25,2.5,2.25,1,1.25,2.25
κλεφταράς,-4,3.25,3.5,3,1,1.25,2.75
κλεφταρού,-4,3,3.25,2.75,1,1.25,2.5
κλεφτράκος,-4,2.25,2.5,2.5,1,1.25,2
κλεφτρού,-4,2.5,2.75,2.5,1,1.25,2
κλινικά,-2,2,2.5,1,1,1,2.5
κλινικός,-3,2,2.333333333,1,1,1,2
κλοπή,-2,3,2,4,1,3,1
κλοτσιά,-2,5,5,5,1,4,1
κλοτσοπατινάδα,-3,2.333333333,2.333333333,1,1,1.333333333,2.666666667
κλωτσιά,-2,5,5,5,1,4,1
κλωτσοπατινάδα,-3,2.333333333,2.333333333,1,1,1.333333333,2.666666667
κνώδαλο,-4,3,2.75,1.25,1,1.25,2.25
κοίλος,-2,1,1,1,1,1,1
κοιλαράς,-4,2,3,1.25,1,1.5,2.5
κοιμάμαι,-1,3,3,4,1,4,1
κοιναισθησία,1,0,0,0,0,0,0
κοινοτοπία,-2,2,1,2,1,2,1
κοινωνικός,2,1,1,1,3,1,1
κοινός,-2,2,2.5,1.5,2.5,1.5,2.5
κοινότητα,2,1,1,1.5,3,1,2.5
κοινότυπος,-3,2,1,2,1,2,1
κοινόχρηστη,1,1,1,1,1,1,1
κοκίτης,-2,2,2.5,3,1,2,3
κοκαλιάρης,-3,2.333333333,2.666666667,1.666666667,1,1.666666667,2.666666667
κοκκινίζω,-1,2,1.75,2.25,2,1,3
κοκορομαχία,-3,2,2.333333333,1.666666667,1,1,2.666666667
κοκόνα,1,1.75,1.75,1,1.25,1,2
κολέγιο,-2,1.5,3,1,1,1,2
κολακεύω,1,1,2,1,2.5,1,2
κολλητιλίκι,-2,4,4,4,1,3,2
κολλώ,-3,1,2.666666667,1.666666667,1,1,2.333333333
κολομπαράς,-4,2.5,3.75,1,1,1.25,1.75
κολούμπρα,-3,2.25,2.25,2,1.25,1.5,4.25
κομμάρα,-2,1.5,2,2,1,1.5,3
κομματάκι,-2,2,1,2,1,2,1
κομματόσκυλο,-4,3.25,3.5,1.25,1,1,2.25
κομμουνιστοσυμμορίτης,-4,3,3.25,1.25,1,1,1.75
κομμούνα,-3,3,3.333333333,1,1,1,2
κομμούνι,-4,3,3.25,1,1,1,1.75
κομπανία,-1,1.333333333,2,1,1.666666667,1,2
κομπλιμέντο,2,1,1,1,4,1,1
κομπογιαννίτης,-4,2.75,3,1.25,1,1,2
κονδυλοφόρος,-3,2.333333333,3,1,1,1,2
κοντοβράκι,-3,1.333333333,2.666666667,1,1,1,2
κοπάδι,-4,2,2.5,1.5,1,1,2.25
κοπανώ,-1,4,3,4,1,4,1
κοπριά,-3,5,5,5,0,4,1
κοπρο-,-3,3.333333333,3.666666667,1,1,1,2.666666667
κοπρολόγος,-3,2,3.666666667,1,1,1,2.333333333
κοπρόσκυλο,-4,5,5,5,0,4,1
κοράκι,-3,2,3,2,1,1,2.666666667
κορδώνω,-2,1,1.75,1,1.75,1,2
κορεννύω,-2,1.5,3.5,1,1,1,2
κορεσμός,-1,1.333333333,2.666666667,1,1.666666667,1,1.666666667
κορμάκι,2,1,1,1,3.5,1,3.5
κορμάρα,4,1,1,1,3.75,1,3
κορμί,3,1,1,1,3,1,3
κοροϊδία,1,3,3,3,1,3,1
κοροϊδεύομαι,-3,3,3,3,1,3,1
κοροϊδεύω,-3,3,3,3,1,3,1
κορτάκιας,-3,1.333333333,2.333333333,1,1,1,1.333333333
κορυφαίος,2,1,1,1,5,0,1
κορόιδο,-3,5,5,4,0,4,1
κοσμάκης,-3,2,2.666666667,1.333333333,1,1.666666667,1.666666667
κοσμήσει,2,1,1,1,3,1,1
κοσμοφοβία,-3,2,2,5,1,4,2
κουδούνι,-1,3,3,1,1,1,2
κουιντέτο,-1,2,3,1,1,1,2
κουκί,-1,1.5,2,1,1,1.5,2
κουκουλώνω,-2,2.5,4,1.5,1,2.5,3.5
κουκούλωμα,-2,2.5,3.5,1.5,1,2.5,3.5
κουλοχέρης,-2,3.5,3,1,1,2,2
κουλτουριάρης,-2,2,3,1,1,1,2
κουλός,-3,2.666666667,2.333333333,1.333333333,1,1.666666667,2.333333333
κουμάσι,-4,3,3.75,1.25,1,1,2
κουμμούνι,-4,2.5,3,1,1,1,1.75
κουμπώνω,-2,1,1,1,1,1,1
κουνιστός,-4,2,2.75,1,1,1,2.25
κουράγιο,1,1,1,1,5,1,1
κουράδα,-4,2.75,4.25,1,1,1,2.25
κουράζω,-4,1.5,1.75,1,1,2,1.25
κουραμπιές,-3,2.333333333,3.333333333,1,1,1,2.333333333
κουρασμένος,-2,2,2,2,1,2,1
κουραστικό,-3,2,2,2,1,2,1
κουραστικός,-2,2,2,2,1,2,1
κουρκουτιάζω,-4,1,1.5,1,1,2.25,2
κουστωδία,-4,1.5,2.5,1,1,1,2
κουταμάρα,-3,2,2.666666667,1.333333333,1,1.333333333,2.333333333
κουτοπόνηρος,-3,1,4,1,0,2,1
κουτορνίθι,-2,3,3,3,1,3,1
κουτσαμάρα,-4,1.75,2.25,1.25,1,1.5,1.75
κουτσομπολιό,-1,2,2,2,1,3,1
κουτσός,-3,2,1,3,1,2,1
κουφάλα,-4,3,3,1,2,0,0
κουφοβράζω,-2,1.333333333,1.666666667,1,1,1.666666667,1.333333333
κοχλάζω,-2,1,1.666666667,1,1,1.333333333,2
κούγκι,-3,4,4,3,1,4,1
κούνημα,-2,2,1,2,1,2,1
κούραση,-4,1.25,2,1,1,2,1.5
κούτσουρο,-3,3,3.333333333,1,1,1.333333333,2.666666667
κούφιος,-2,0,2,3,0,3,2
κράζω,-2,4,4,4,1,4,2
κράμπα,-2,2,1,2,1,2,1
κρέμομαι,-2,1,2,2,1,1,3
κρίμα,-2,2,2,3,1,4,1
κρίση,-3,3,3,4,1,3,1
κρίσιμες,-2,3,3,4,1,3,1
κρίσιμος,-1,3,2,5,1,4,2
κραδαίνω,-2,1,1,1,1,1,1
κρασο-,-2,2,3,1,1,1,2.5
κρασοκατάνυξη,1,1.333333333,2.333333333,1,1.666666667,1,2.333333333
κρατώ,1,0,0,0,0,0,0
κραυγή,-4,3,3,2,1,3,1
κρεβατομουρμούρα,-4,1.75,2.25,1,1,1.25,2
κρεπάρω,-4,2.25,2.75,1.25,1,1.5,2.25
κριτικός,-2,2,1,2,1,2,1
κρυάδα,-3,1.333333333,2.666666667,1.666666667,1,1.333333333,2.333333333
κρυφοκαμαρώνω,4,1,1,1,4.25,1,2.25
κρυφός,-2,2,2.5,2,1,1,3
κρυώνω,-4,1.25,1.5,1.75,1,1.75,2.25
κρύβομαι,-2,2,1,3,1,3,1
κρύβω,-2,2.5,1.5,1,1,1,2.5
κρύο,-3,1,1.666666667,1.666666667,1,1.666666667,3
κρύος,-4,1.5,2,1.5,1,1.5,2.25
κτήνος,-4,3.75,4,3,1,1.5,2.75
κτηνώδης,-2,3,3,3,1,3,1
κυβερνήτης,-1,1,3,2,1,1,3
κυβερνησάρα,-3,4,5,3,1,4,2
κυνηγός,-2,2,2,2,1,2,1
κυνικός,-2,3,2,3,1,2,1
κυράτσα,-4,2.5,3.5,1,1,1,2
κυρίαρχος,1,1,1,1,3,1,1
κυριαρχία,-1,1.333333333,1.666666667,2,1.333333333,1,2
κυριαρχούν,-2,2,1,2,1,2,1
κυριαρχώ,-1,1.333333333,1.666666667,2,1.666666667,1,2
κυριεύω,-2,2,1.5,3,1,1,2.5
κυρούλα,1,1.25,1.5,1,1.5,1,1.25
κωλοβάρδουλα,-3,4,5,3,0,4,1
κωλοβαράω,-3,3,3.666666667,1,1,1.333333333,2.333333333
κωλογλείφτης,-4,3,4.25,1,1,1,2.5
κωλογλείφω,-4,3,4.25,1,1,1,2.5
κωλοδάχτυλο,-4,4.25,3.25,1,1,1,2.5
κωλομέρι,-3,2.333333333,3.666666667,1,1,1,2.666666667
κωλοτούμπα,-4,4,5,3,0,4,1
κωλοτρυπίδα,-2,3.333333333,4,1,1,1,2.666666667
κωλοχανείο,-4,3.25,4,1,1,1.25,2.5
κωλόμπαρο,-4,4,5,3,0,4,1
κωλόπαιδο,-4,4,3,1,0,2,1
κωλόχαρτο,-4,4,5,3,0,4,1
κωφός,-2,2,2,2,1,2,1
κόβομαι,-2,3,2,4,1,5,2
κόβω,-1,2,3,4,1,2,3
κόκορας,-2,2,2,2,1,2,1
κόλαση,-2,3,3,4,0,3,1
κόλπο,-2,2,2,2,1,2,1
κόμης,-2,1.5,3,2.5,1,1,3
κόμμα,1,1,1,1,1,1,1
κόμπλεξ,-3,4,4,3,1,4,1
κόντρα,-2,3,2,4,1,4,1
κόπανος,-3,4,4,3,0,3,1
κόπωση,-2,2,2,2,1,3,1
κόστος,-1,3,2,4,1,4,1
κότες,-4,5,5,4,1,4,2
κόψιμο,-2,2,3,2.5,1,2,1.5
κύκλωμα,-3,1.666666667,2.666666667,2.333333333,1,1,2.333333333
κύμα,1,2,1.5,2.5,2.5,1,3
κώλος,-3,4,5,3,0,4,1
κώφωση,-2,2,2,2,1,2,1
λάβρα,-2,2.25,2,1.5,2.5,1,3
λάθος,-2,3,3,4,1,4,1
λάκτισμα,-2,3,2,3,1,3,1
λάμπω,3,1,1,1,4.333333333,1,3.666666667
λάμψη,3,1,1,1,4,1,3.666666667
λάσπη,-4,1.75,2.25,1,1,2,2
λάχανο,-1,2,3,2,0,3,0
λέω,1,1,1,1,3,1,1
λίπος,-2,1,2,1,1,1,1
λαθραία,-2,4,3,3,1,3,1
λαθρομετανάστης,-2,4,4,5,1,4,1
λαλώ,-1,2,3,1,1.5,2,4
λαμογιά,-4,5,5,2,0,3,1
λαμποκοπώ,3,1,1,1,4.333333333,1,3.666666667
λαμόγιο,-4,5,5,2,0,3,1
λαοθάλασσα,1,2,1,3,1,2,1
λαουτζίκος,-3,1.666666667,2.666666667,1,1,1.666666667,2
λαπάς,-4,1.75,3.25,1,1,1,2.5
λασπολόγος,-3,4,5,2,0,4,1
λασπώδης,-2,3,4,3,1,3,1
λατρεία,2,1,1,1,5,1,1
λαχτάρα,-3,1,1,1,5,1,1
λαχταρώ,1,1,1,2.75,3,1,2.25
λαϊκίζω,-2,2,3,3,0,2,1
λαϊκισμός,-2,2,3,3,0,2,1
λαϊκιστής,-2,2,3,3,0,2,1
λαϊκιστικός,-2,2,3,3,0,2,1
λεία,-2,2,2,2,1,2,1
λείπω,-1,1,1,1,1,4,1
λεηλασία,-2,3,5,3,0,3,0
λειαντικά,-2,1,1,1,2,1,1
